Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C14, C15, C2, C3, C4, C5, C6, C7",C0805,11,10uf,
"C10, C11",CAP-TH_BD5.0-P2.00-D0.8-FD,2,15pf,
"D1, D10, D11, D6, D7, D8, D9",SOD-323_L1.8-W1.3-LS2.5-RD,7,NSR0320MW2T1G,
R1,RES-TH_BD2.4-L6.3-P10.30-D0.6,1,100k,
R2,RES-TH_BD2.4-L6.3-P10.30-D0.6,1,10k,
R3,RES-TH_BD2.4-L6.3-P10.30-D0.6,1,4.7k,
U1,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,1,SL2.1A_C6798314,
U2,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,1,FSUSB42MUX,
U3,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,LMV7219M5X/NOPB,
U4,USB-3.0-A-SMD_HC-USB3.0-C26,1,HC-USB3.0-C26,
USB1,TYPE-C-SMD_YTC-TC16S-128,1,YTC-TC16S-128_C2927282,C2927282
"USB2, USB3, USB4, USB5",USB-A-TH_USB-231-ARY,4,USB-231-ARY,
Y1,CAP-TH_BD5.0-P2.00-D0.8-FD,1,12Mhz,
